graph_kind,operation_group,operation,size,fastest_structure,fastest_time_ms,runner_up,runner_up_time_ms,pct_faster_than_runner_up,notes
sparse,shortest_path,bellman_ford,25,Adjacency Matrix,0.122708,Adjacency List,0.164166,25.3,"For sparse bellman_ford at V=25, Adjacency Matrix is fastest at 0.1227 ms (25.3% faster than Adjacency List)."
sparse,shortest_path,bellman_ford,50,Adjacency List,0.169875,Adjacency Matrix,0.201167,15.6,"For sparse bellman_ford at V=50, Adjacency List is fastest at 0.1699 ms (15.6% faster than Adjacency Matrix)."
sparse,shortest_path,bellman_ford,100,Adjacency List,0.420208,Adjacency Matrix,0.534417,21.4,"For sparse bellman_ford at V=100, Adjacency List is fastest at 0.4202 ms (21.4% faster than Adjacency Matrix)."
sparse,traversal,bfs,25,Adjacency List,0.061209,Adjacency Matrix,0.074209,17.5,"For sparse bfs at V=25, Adjacency List is fastest at 0.0612 ms (17.5% faster than Adjacency Matrix)."
sparse,traversal,bfs,50,Adjacency List,0.153459,Adjacency Matrix,0.196375,21.9,"For sparse bfs at V=50, Adjacency List is fastest at 0.1535 ms (21.9% faster than Adjacency Matrix)."
sparse,traversal,bfs,100,Adjacency List,0.461459,Adjacency Matrix,0.588834,21.6,"For sparse bfs at V=100, Adjacency List is fastest at 0.4615 ms (21.6% faster than Adjacency Matrix)."
sparse,construction,build,25,Adjacency List,0.018709,Adjacency Matrix,0.033125,43.5,"For sparse build at V=25, Adjacency List is fastest at 0.0187 ms (43.5% faster than Adjacency Matrix)."
sparse,construction,build,50,Adjacency List,0.045,Adjacency Matrix,0.076292,41.0,"For sparse build at V=50, Adjacency List is fastest at 0.0450 ms (41.0% faster than Adjacency Matrix)."
sparse,construction,build,100,Adjacency List,0.084833,Adjacency Matrix,0.234458,63.8,"For sparse build at V=100, Adjacency List is fastest at 0.0848 ms (63.8% faster than Adjacency Matrix)."
sparse,traversal,dfs,25,Adjacency List,0.048334,Adjacency Matrix,0.061625,21.6,"For sparse dfs at V=25, Adjacency List is fastest at 0.0483 ms (21.6% faster than Adjacency Matrix)."
sparse,traversal,dfs,50,Adjacency List,0.124334,Adjacency Matrix,0.164333,24.3,"For sparse dfs at V=50, Adjacency List is fastest at 0.1243 ms (24.3% faster than Adjacency Matrix)."
sparse,traversal,dfs,100,Adjacency List,0.388458,Adjacency Matrix,0.674333,42.4,"For sparse dfs at V=100, Adjacency List is fastest at 0.3885 ms (42.4% faster than Adjacency Matrix)."
sparse,shortest_path,dijkstra,25,Adjacency List,0.068833,Adjacency Matrix,0.084542,18.6,"For sparse dijkstra at V=25, Adjacency List is fastest at 0.0688 ms (18.6% faster than Adjacency Matrix)."
sparse,shortest_path,dijkstra,50,Adjacency List,0.261625,Adjacency Matrix,0.49325,47.0,"For sparse dijkstra at V=50, Adjacency List is fastest at 0.2616 ms (47.0% faster than Adjacency Matrix)."
sparse,shortest_path,dijkstra,100,Adjacency List,0.717584,Adjacency Matrix,1.138958,37.0,"For sparse dijkstra at V=100, Adjacency List is fastest at 0.7176 ms (37.0% faster than Adjacency Matrix)."
sparse,neighbor_scan,neighbor_scan,25,Adjacency List,0.006375,Adjacency Matrix,0.017625,63.8,"For sparse neighbor_scan at V=25, Adjacency List is fastest at 0.0064 ms (63.8% faster than Adjacency Matrix)."
sparse,neighbor_scan,neighbor_scan,50,Adjacency List,0.011709,Adjacency Matrix,0.051042,77.1,"For sparse neighbor_scan at V=50, Adjacency List is fastest at 0.0117 ms (77.1% faster than Adjacency Matrix)."
sparse,neighbor_scan,neighbor_scan,100,Adjacency List,0.024167,Adjacency Matrix,0.179917,86.6,"For sparse neighbor_scan at V=100, Adjacency List is fastest at 0.0242 ms (86.6% faster than Adjacency Matrix)."
sparse,mutation,remove_edges,25,Adjacency List,0.030708,Adjacency Matrix,0.036209,15.2,"For sparse remove_edges at V=25, Adjacency List is fastest at 0.0307 ms (15.2% faster than Adjacency Matrix)."
sparse,mutation,remove_edges,50,Adjacency List,0.047834,Adjacency Matrix,0.082792,42.2,"For sparse remove_edges at V=50, Adjacency List is fastest at 0.0478 ms (42.2% faster than Adjacency Matrix)."
sparse,mutation,remove_edges,100,Adjacency List,0.078208,Adjacency Matrix,0.22025,64.5,"For sparse remove_edges at V=100, Adjacency List is fastest at 0.0782 ms (64.5% faster than Adjacency Matrix)."
