scenario,query_mode,size,list_time_ms,tree_time_ms,speedup_vs_list
random_insertion,hits,50,0.0501250615343451,0.0481250463053584,1.041558718017566
random_insertion,hits,100,0.1933339517563581,0.1261249417439103,1.5328764404816293
random_insertion,hits,500,3.895333968102932,0.6877919659018517,5.6635351403025815
random_insertion,misses,50,0.0497499713674187,0.0325419241562485,1.5287962423041297
random_insertion,misses,100,0.1844170037657022,0.0652499729767441,2.8263154044742773
random_insertion,misses,500,5.110041005536914,0.2350829308852553,21.737184347217198
sorted_insertion,hits,50,0.0227499986067414,0.0949159730225801,0.23968567020146622
sorted_insertion,hits,100,0.0825420720502734,0.3491670358926058,0.23639709240955117
sorted_insertion,hits,500,1.811124966479838,8.230583043769002,0.22004819790390887
sorted_insertion,misses,50,0.0348329776898026,0.1482499064877629,0.2349612118823012
sorted_insertion,misses,100,0.135042006149888,0.5911249900236726,0.22844915784135608
sorted_insertion,misses,500,3.502083010971546,16.025624936446548,0.21853019928145673
